Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Source File       Start Address     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------  ------------------
nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14466.497s               14466.497s                            0s                        0.940s                  14465.557s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0xb90ef0          
PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              1578.281s                1394.236s                            0s                        4.775s                   1389.462s                             0s                            0s            184.045s                                               0s                                  0s                  184.045s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             waitall.c         0x124df0          
PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              744.846s                 665.311s                            0s                        2.537s                    662.774s                             0s                            0s             79.535s                                               0s                                  0s                   79.535s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            sendrecv.c        0x10a4a0          
spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   420.707s                 420.707s                            0s                            0s                    420.707s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x2215d0          
gather_f_bsplines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          364.777s                 364.777s                            0s                            0s                    364.777s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  gather_f_bsplines(gmx_pme_t const*, float const*, int, pme_atomcomm_t const*, splinedata_t const*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0x1fb720          
fft5d_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              261.011s                 261.011s                            0s                            0s                    261.011s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  fft5d_execute(fft5d_plan_t*, int, gmx_wallcycle*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0xffb8e0          
PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              224.842s                 209.869s                            0s                            0s                    209.869s                             0s                            0s             14.973s                                               0s                                  0s                   14.973s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            alltoall.c        0x6ace0           
nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        196.749s                 196.749s                            0s                        0.219s                    196.530s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*, float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]         0xb96600          
nbnxn_kernel_prune_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     152.905s                 152.905s                            0s                            0s                    152.905s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_prune_4xn(nbnxn_pairlist_t*, nbnxn_atomdata_t const*, float const (*)[3], float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0xd228a0          
