Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Source File        Start Address     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------  ------------------
nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7240.816s                7240.816s                            0s                        0.875s                   7239.941s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]          0xb90ef0          
PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              736.463s                 652.381s                            0s                        2.318s                    650.063s                             0s                            0s             84.081s                                               0s                                  0s                   84.081s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             waitall.c          0x124df0          
PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             603.406s                 538.575s                            0s                        1.000s                    537.575s                             0s                            0s             64.831s                                               0s                                  0s                   64.831s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            sendrecv.c         0x10a4a0          
PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 222.238s                 197.807s                            0s                        0.867s                    196.940s                             0s                            0s             24.430s                                               0s                                  0s                   24.430s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                recv.c             0xfa8f0           
spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  211.720s                 211.720s                            0s                            0s                    211.720s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]          0x2215d0          
PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             196.235s                 181.864s                            0s                        0.050s                    181.814s                             0s                            0s             14.371s                                               0s                                  0s                   14.371s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            alltoall.c         0x6ace0           
gather_f_bsplines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         177.743s                 177.743s                            0s                        0.090s                    177.653s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  gather_f_bsplines(gmx_pme_t const*, float const*, int, pme_atomcomm_t const*, splinedata_t const*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]          0x1fb720          
fft5d_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             134.690s                 134.690s                            0s                        0.060s                    134.630s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  fft5d_execute(fft5d_plan_t*, int, gmx_wallcycle*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]          0xffb8e0          
PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                114.199s                 101.280s                            0s                        2.556s                     98.724s                             0s                            0s             12.918s                                               0s                                  0s                   12.918s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               bcast.c            0x74c20           
nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        98.037s                  98.037s                            0s                            0s                     98.037s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*, float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]          0xb96600          
nbnxn_kernel_prune_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     77.901s                  77.901s                            0s                        0.010s                     77.891s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_prune_4xn(nbnxn_pairlist_t*, nbnxn_atomdata_t const*, float const (*)[3], float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]          0xd228a0          
