- Package -----------------------------+- Versions -+- Last mod. ------
Currently Loaded Modulefiles:
modules/3.2.11.1                                     2018/10/25 16:09:44
alps/6.6.50-7.0.0.1_3.18__g962f7108.ari              2019/03/26 20:49:26
nodestat/2.3.85-7.0.0.1_3.12__gc6218bb.              2019/03/26 20:33:55
sdb/3.3.794-7.0.0.1_4.7__gfff82fd.ari                2019/03/26 20:58:15
udreg/2.3.2-7.0.0.1_4.10__g8175d3d.ari               2019/03/23  8:48:26
ugni/6.0.14.0-7.0.0.1_7.12__ge78e5b0.ar              2019/03/23  9:02:11
gni-headers/5.0.12.0-7.0.0.1_7.14__g3b1              2019/03/23  8:28:13
dmapp/7.1.1-7.0.0.1_4.18__g54dc2b7.ari               2019/03/26 20:57:37
xpmem/2.2.17-7.0.0.1_3.11__g7acee3a.ari              2019/03/23  9:37:55
llm/21.4.570-7.0.0.1_5.6__ge50c6aa.ari               2019/03/23  8:15:13
nodehealth/5.6.15-7.0.0.1_4.19__g3727db              2019/03/26 21:01:18
system-config/3.5.2956-7.0.0.1_3.9__g0e              2019/03/23 10:00:17
Base-opts/2.4.139-7.0.0.1_4.11__gbb799d              2019/03/23  8:53:41
craype-network-aries                                 2019/03/11 14:18:13
craype/2.5.18                                        2019/03/11 14:18:13
cray-mpich/7.7.6                                     2019/03/11 14:50:06
rca/2.2.20-7.0.0.1_4.19__g8e3fb5b.ari                2019/03/26 20:42:34
gcc/8.2.0                                            2018/10/24  1:03:47
cray-libsci/18.12.1                                  2019/03/11 14:49:52
pmi/5.0.14                                           2019/03/11 14:18:29
atp/2.1.3                                            2019/03/11 14:22:26
perftools-base/7.0.6                                 2019/03/11 14:22:35
PrgEnv-gnu/6.0.5                                     2019/03/11 14:18:35
