Function                                                                                                                                                                                                                                                                                                                                                                                                                                                      CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Source File        Start Address     
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------  ------------------
nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn                                                                                                                                                                                                                                                                                                                                                                                                                           7252.185s                7252.185s                            0s                        0.928s                   7251.257s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]          0xb90ef0          
PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                  733.639s                 649.177s                            0s                        1.879s                    647.298s                             0s                            0s             84.462s                                               0s                                  0s                   84.462s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                waitall.c          0x124df0          
PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                 585.268s                 521.722s                            0s                        1.089s                    520.633s                             0s                            0s             63.545s                                               0s                                  0s                   63.545s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               sendrecv.c         0x10a4a0          
PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                     235.572s                 209.821s                            0s                        1.428s                    208.393s                             0s                            0s             25.751s                                               0s                                  0s                   25.751s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   recv.c             0xfa8f0           
spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                      212.229s                 212.229s                            0s                        0.010s                    212.219s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]          0x2215d0          
PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                 197.362s                 182.037s                            0s                        0.079s                    181.958s                             0s                            0s             15.326s                                               0s                                  0s                   15.326s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               alltoall.c         0x6ace0           
gather_f_bsplines                                                                                                                                                                                                                                                                                                                                                                                                                                             178.989s                 178.989s                            0s                        0.130s                    178.859s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  gather_f_bsplines(gmx_pme_t const*, float const*, int, pme_atomcomm_t const*, splinedata_t const*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]          0x1fb720          
fft5d_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                 128.730s                 128.730s                            0s                        0.060s                    128.670s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  fft5d_execute(fft5d_plan_t*, int, gmx_wallcycle*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]          0xffb8e0          
PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                    118.598s                 104.989s                            0s                        1.978s                    103.011s                             0s                            0s             13.610s                                               0s                                  0s                   13.610s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  bcast.c            0x74c20           
